sample,target
0,-0.019970516572318388
1,0.12548516732728296
2,-0.1343779296145466
3,-0.05347775672216132
4,-0.029751775465449305
5,-0.07743706751350637
6,0.047104211547678784
7,-0.058630057585493625
8,0.047837961662100546
9,-0.24184503979673988
10,-0.158426461512443
11,-0.2196255580185948
12,0.033238479207054444
13,0.09962845317326402
14,-0.11028451655315236
15,-0.21103150833093542
16,0.2568011017927395
17,-0.16503342246442332
18,-0.06578942050564389
19,-0.014476648463382064
20,-0.055425910628694314
21,-0.032941934604848795
22,-0.0752556669463987
23,-0.20347612327756853
24,0.08522780890448103
25,0.12224584475251485
26,-0.002204380504874247
27,0.12546695106974765
28,0.15662457722554526
29,-0.03858973917982356
30,-0.01331024697534497
31,-0.014028298378327586
32,-0.10016712889539864
33,-0.06660183106331927
34,-0.1285674200269304
35,-0.07869221059046438
36,-0.0816627168403116
37,-0.023911851173705676
38,0.04915028283541289
39,-0.24712969652047162
40,0.030325365328166057
41,-0.02883705269379308
42,0.011438552942461079
43,0.25722079088555944
44,0.06723912906875577
45,0.073154257411175
46,0.005125145023729703
47,0.17625485975402594
48,-0.1353853893096495
49,-0.01626517435493454
50,-0.11282528882204443
51,0.04194220913410222
52,-0.226684147726047
53,0.30430271117113383
54,0.08884456389895388
55,0.03408386099178588
56,-0.11363171767553464
57,0.05827207510584359
58,-0.10717691619820655
59,-0.10448039295717142
60,0.0950228828415397
61,0.01918564388680661
62,-0.20585804635134747
63,0.064282985448342
64,-0.1347926198415968
65,0.11982900636406145
66,-0.008125216664943535
67,-0.17465381262063867
68,0.038975268467334775
69,0.0559990913051132
70,-0.11306476446460423
71,0.2709209788547318
72,-0.020579330411022584
73,-0.004774108962791276
74,-0.28226832538467717
75,-0.07475181613256407
76,0.1720722107015532
77,-0.022056646607587993
78,-0.017241737466728507
79,0.08248699446912044
80,0.051307094252748056
81,-0.18575252342315535
82,0.102623147690756
83,0.08491687923754265
84,-0.027266520055697928
85,0.02440762276268033
86,0.11291729182418263
87,0.04048727312605059
88,0.059283937536281126
89,-0.030666389485824758
90,0.006399897836495166
91,0.05543569169053102
92,-0.019534126194769352
93,0.19785851540582908
94,0.08960141130701663
95,0.0009565487778320364
96,-0.07142860820521318
97,0.10524020969191179
98,0.11660524300311026
99,-0.14964916076073262
100,-0.10799856389279716
101,-0.1560032583479802
102,0.09519917131735421
103,0.041494396047313295
104,-0.18836415647658353
105,-0.009845526155857091
106,-0.11115714461942493
107,-0.020925849109242323
108,0.24720089658479874
109,0.07245984345724142
110,0.05572879203188118
111,-0.1589132784133209
112,0.19513884524115133
113,0.09456035526710468
114,0.1313878009437168
115,-0.03216031784609575
116,-0.2005424969487202
117,-0.034951662812191614
118,0.035471119128883885
119,-0.016379223765936073
120,-0.08003115059410752
121,-0.07908431624112472
122,-0.04677364178006342
123,-0.09552622545120532
124,0.01049150954249585
125,-0.14168641245474395
126,0.11242092683514941
127,0.14595619270931842
128,-0.09030413575837534
129,0.05005915567233715
130,-0.07491575255248782
131,0.21475487582210454
132,-0.0874634808225268
133,-0.060291174062058264
134,0.03066582791269018
135,0.015557750220494417
136,0.12147288603520726
137,-0.018895119062579614
138,0.02173498520341403
139,0.13427729108824543
140,-0.04330835392040859
141,0.01824309679974799
142,-0.2301595479337658
143,0.14510267282328082
144,0.183922295431442
145,0.00946244397495867
146,-0.026382729742625757
147,-0.008634460816097554
148,0.030291931435218442
149,0.021930307866551604
150,-0.07318584312257342
151,-0.0199907612807127
152,0.012679729789117328
153,0.062239761109812546
154,0.04939815346531423
155,0.03689336430982536
156,-0.14832263307834526
157,-0.01935823704924867
158,0.11265181588751302
159,0.056991454014188064
160,-0.07275404773026672
161,0.06234745840614804
162,-0.05656138311357497
163,-0.05377481330302364
164,-0.021303766844234198
165,0.04990051028932545
166,-0.12342827793874128
167,0.07611852666167242
168,-0.12239655507727455
169,0.07553946322179203
170,0.01117361826894479
